;Country;Participations;Matches;W;D;L;GF;GA;GD;Points;Points per tournament;Trophy
1;Germany;12;53;27;13;13;78;55;23;94;7.83;3
2;Italy;10;45;21;18;6;52;31;21;81;8.1;2
3;Spain;11;46;21;15;10;68;42;26;78;7.09;3
4;France;10;43;21;12;10;69;50;19;75;7.5;2
5;Netherlands;9;39;20;8;11;65;41;24;68;7.56;1
6;Portugal;8;39;19;10;10;56;38;18;67;8.38;1
7;England;10;38;15;13;10;51;37;14;58;5.8;0
8;Czech Republic;7;29;12;4;13;36;37;-1;40;5.71;0
9;Denmark;9;33;10;6;17;42;50;-8;36;4.0;1
10;Belgium;6;22;11;2;9;31;28;3;35;5.83;0
11;Croatia;6;22;9;6;7;30;28;2;33;5.5;0
12;Sweden;7;24;7;7;10;30;28;2;28;4.0;0
13;Soviet Union (-1991);6;16;7;4;5;18;16;2;25;4.17;1
14;Russia;6;20;6;3;11;22;36;-14;21;3.5;0
15;Greece;4;16;5;3;8;14;20;-6;18;4.5;1
16;Switzerland;5;18;3;8;7;16;24;-8;17;3.4;0
17;Wales;2;10;5;1;4;13;12;1;16;8.0;0
18;TÃ¼rkiye;5;18;4;2;12;14;30;-16;14;2.8;0
19;Poland;4;14;2;7;5;11;15;-4;13;3.25;0
20;Czechoslovakia (-1993);2;8;3;3;2;12;10;2;12;6.0;1
21;Yugoslavia;4;14;3;2;9;22;39;-17;11;2.75;0
22;Hungary;3;11;2;4;5;14;20;-6;10;3.33;0
23;Ukraine;3;11;3;0;8;8;19;-11;9;3.0;0
24;Iceland;1;5;2;2;1;8;9;-1;8;8.0;0
25;Scotland;3;9;2;2;5;5;10;-5;8;2.67;0
26;Austria;3;10;2;2;6;7;12;-5;8;2.67;0
27;Republic of Ireland;3;10;2;2;6;6;17;-11;8;2.67;0
28;Romania;5;16;1;5;10;10;21;-11;8;1.6;0
29;Slovakia;2;7;2;1;4;5;13;-8;7;3.5;0
30;Norway;1;3;1;1;1;1;1;0;4;4.0;0
31;Bulgaria;2;6;1;1;4;4;13;-9;4;2.0;0
32;Northern Ireland;1;4;1;0;3;2;3;-1;3;3.0;0
33;Finland;1;3;1;0;2;1;3;-2;3;3.0;0
34;Albania;1;3;1;0;2;1;3;-2;3;3.0;0
35;Slovenia;1;3;0;2;1;4;5;-1;2;2.0;0
36;Latvia;1;3;0;1;2;1;5;-4;1;1.0;0
37;North Macedonia;1;3;0;0;3;2;8;-6;0;0;0
