Ciaran Clark *;Ireland;1
Merih Demiral *;Turkey;1
Martin Dúbravka *;Slovakia;1
Dejan Govedarica;Yugoslavia;1
Raphaël Guerreiro *;Portugal;1
Lukáš Hrádecký *;Finland;1
Mats Hummels *;Germany;1
Glen Johnson;England;1
Jorge Andrade;Portugal;1
Simon Kjær *;Denmark;1
Juraj Kucka *;Slovakia;1
Gareth McAuley;Northern Ireland;1
Anton Ondruš;CSSR;1
Pedri *;Spain;1
Luboslav Penev;Bulgaria;1
Rúben Dias *;Portugal;1
Birkir Sævarsson;Iceland;1
Wojciech Szczęsny *;Poland;1
Igor Tudor;Croatia;1
Denis Zakaria *;Switzerland;1