,Index,Player,Country,Matches,Goals,Penatlies,AVG,Active
240,201,Igor Dobrovolskiy,RussiaCIS,4,1,1,0.25,False
241,201,Angelo Domenghini,Italy,3,1,0,0.33,False
242,201,Domingos Paciência,Portugal,3,1,0,0.33,False
243,201,Artem Dovbyk,Ukraine,1,1,0,1.0,True
244,201,Julian Draxler,Germany,5,1,0,0.2,True
245,201,Ljubinko Drulović,Yugoslavia,4,1,0,0.25,False
246,201,Ondrej Duda,Slovakia,6,1,0,0.17,True
247,201,Artem Dzyuba,Russia,6,1,1,0.17,True
248,201,Éder,Italy,4,1,0,0.25,True
249,201,Éder,Portugal,3,1,0,0.33,False
250,251,Stefan Effenberg,Germany,5,1,0,0.2,False
251,251,Lars Elstrup,Denmark,2,1,0,0.5,False
252,251,Breel Embolo,Switzerland,9,1,0,0.11,True
253,251,Etxeberria,Spain,6,1,0,0.17,False
254,251,Luis Fernández,France,8,1,0,0.13,False
255,251,Fernando Couto,Portugal,12,1,0,0.08,False
256,251,Attila Fiola,Hungary,4,1,0,0.25,True
257,251,Stefano Fiore,Italy,9,1,0,0.11,False
258,251,Heinz Flohe,Germany,2,1,0,0.5,False
259,251,Torsten Frings,Germany,8,1,0,0.13,False
260,251,Ionel Ganea,Romania,3,1,1,0.33,False
261,251,Paul Gascoigne,England,5,1,0,0.2,False
262,251,Mario Gavranović,Switzerland,5,1,0,0.2,True
263,251,Theofanis Gekas,Greece,6,1,0,0.17,False
264,251,Zoltán Gera,Hungary,4,1,0,0.25,False
265,251,Eric Gerets,Belgium,4,1,0,0.25,False
266,251,Steven Gerrard,England,9,1,0,0.11,False
267,251,Emanuele Giaccherini,Italy,6,1,0,0.17,False
268,251,Alain Giresse,France,5,1,0,0.2,False
269,251,Denis Glushakov,Russia,4,1,0,0.25,True
270,251,Bart Goor,Belgium,3,1,0,0.33,False
271,251,Gordillo,Spain,10,1,0,0.1,False
272,251,Leon Goretzka,Germany,3,1,0,0.33,True
273,251,Robin Gosens,Germany,4,1,0,0.25,True
274,251,Dejan Govedarica,Yugoslavia,3,1,0,0.33,False
275,251,Francesco Graziani,Italy,4,1,0,0.25,False
276,251,Michael Gregoritsch,Austria,3,1,0,0.33,True
277,251,Jesper Grønkjær,Denmark,6,1,0,0.17,False
278,251,Georges Grün,Belgium,3,1,0,0.33,False
279,251,Raphaël Guerreiro,Portugal,9,1,0,0.11,True
280,251,Ruud Gullit,Netherlands,9,1,0,0.11,False
281,251,Marek Hamšík,Slovakia,7,1,0,0.14,False
282,251,Petter Hansson,Sweden,3,1,0,0.33,False
283,251,Eden Hazard,Belgium,9,1,0,0.11,False
284,251,Jordan Henderson,England,8,1,0,0.13,True
285,251,Tomáš Holeš,Czech Republic,5,1,0,0.2,True
286,251,Bernd Hölzenbein,Germany,2,1,0,0.5,False
287,251,Wes Hoolahan,Ireland,4,1,0,0.25,False
288,251,Ray Houghton,Ireland,3,1,0,0.33,False
289,251,Klaas-Jan Huntelaar,Netherlands,4,1,0,0.25,False
290,251,Geoff Hurst,England,1,1,0,1.0,False
291,251,Steffen Iversen,Norway,3,1,0,0.33,False
292,251,Nikica Jelavić,Croatia,3,1,0,0.33,False
293,251,Faxe Jensen,Denmark,7,1,0,0.14,False
294,251,Jesús Navas,Spain,3,1,0,0.33,True
295,251,Mattias Jonson,Sweden,3,1,0,0.33,False
296,251,Jordi Alba,Spain,16,1,0,0.06,True
297,251,Ladislav Jurkemik,CSSR,6,1,0,0.17,False
298,251,İrfan Kahveci,Turkey,3,1,0,0.33,True
299,251,Saša Kalajdžić,Austria,4,1,0,0.25,True
300,301,Nikola Kalinić,Croatia,3,1,0,0.33,True
301,301,Josip Katalinski,Yugoslavia,2,1,0,0.5,False
302,301,Sami Khedira,Germany,10,1,0,0.1,False
303,301,Galimzyan Khusainov,USSR,2,1,0,0.5,False
304,301,Wim Kieft,Netherlands,4,1,0,0.25,False
305,301,Dmitriy Kirichenko,Russia,1,1,0,1.0,False
306,301,Tomislav Knez,Yugoslavia,1,1,0,1.0,False
307,301,Ronald Koeman,Netherlands,9,1,1,0.11,False
308,301,Slobodan Komljenović,Yugoslavia,3,1,0,0.33,False
309,301,Anatoliy Konkov,USSR,2,1,0,0.5,False
310,301,Niko Kovač,Croatia,6,1,0,0.17,False
311,301,Lajos Kü,Hungary,2,1,1,0.5,False
312,301,Pavel Kuka,Czech Republic,7,1,0,0.14,False
313,301,Stefan Kuntz,Germany,5,1,0,0.2,False
314,301,Dirk Kuyt,Netherlands,6,1,0,0.17,False
315,301,Stefan Lainer,Austria,4,1,0,0.25,True
316,301,Raoul Lambert,Belgium,2,1,0,0.5,False
317,301,Aymeric Laporte,Spain,6,1,0,0.17,True
318,301,Sebastian Larsson,Sweden,11,1,0,0.09,False
319,301,Michael Laudrup,Denmark,10,1,0,0.1,False
320,301,John Lauridsen,Denmark,2,1,0,0.5,False
321,301,Søren Lerby,Denmark,6,1,0,0.17,False
322,301,Joleon Lescott,England,4,1,0,0.25,False
323,301,Karol Linetty,Poland,2,1,0,0.5,True
324,301,Gennadiy Litovchenko,USSR,4,1,0,0.25,False
325,301,Freddie Ljungberg,Sweden,10,1,0,0.1,False
326,301,Patrice Loko,France,5,1,0,0.2,False
327,301,Harry Maguire,England,5,1,0,0.2,True
328,301,Roy Makaay,Netherlands,5,1,0,0.2,False
329,301,Roberto Mancini,Italy,4,1,0,0.25,False
330,301,Manjarín,Spain,3,1,0,0.33,False
331,301,Marcelino,Spain,2,1,0,0.5,False
332,301,Mata,Spain,1,1,0,1.0,False
333,301,Lothar Matthäus,Germany,11,1,1,0.09,False
334,301,Gary McAllister,Scotland,6,1,1,0.17,False
335,301,Gareth McAuley,Northern Ireland,4,1,0,0.25,False
336,301,Brian McClair,Scotland,3,1,0,0.33,False
337,301,Ally McCoist,Scotland,5,1,0,0.2,False
338,301,Niall McGinn,Northern Ireland,3,1,0,0.33,True
339,301,Callum McGregor,Scotland,3,1,0,0.33,True
340,301,Steve McManaman,England,6,1,0,0.17,False
341,301,Paul McStay,Scotland,3,1,0,0.33,False
342,301,Admir Mehmedi,Switzerland,6,1,0,0.17,False
343,301,Olof Mellberg,Sweden,13,1,0,0.08,False
344,301,Jérémy Ménez,France,3,1,0,0.33,True
345,301,Slava Metreveli,USSR,2,1,0,0.5,False
346,301,Thomas Meunier,Belgium,9,1,0,0.11,True
347,301,Míchel,Spain,3,1,0,0.33,False
348,301,Mikel Oyarzabal,Spain,6,1,0,0.17,True
349,301,Aleksey Mikhaylichenko,CISUSSR,8,1,0,0.13,False
350,351,Arkadiusz Milik,Poland,5,1,0,0.2,True
351,351,Aleksey Miranchuk,Russia,3,1,0,0.33,True
352,351,Johan Mjällby,Sweden,3,1,0,0.33,False
353,351,Viorel Moldovan,Romania,6,1,0,0.17,False
354,351,Andreas Möller,Germany,8,1,0,0.13,False
355,351,Kieffer Moore,Wales,4,1,0,0.25,True
356,351,Morientes,Spain,3,1,0,0.33,False
357,351,Aleksandr Mostovoy,Russia,4,1,0,0.25,False
358,351,Émile Mpenza,Belgium,3,1,0,0.33,False
359,351,Munitis,Spain,2,1,0,0.5,False
360,351,Dorinel Munteanu,Romania,7,1,0,0.14,False
361,351,Shkodran Mustafi,Germany,2,1,0,0.5,False
362,351,Adrian Mutu,Romania,6,1,0,0.17,False
363,351,Samir Nasri,France,6,1,0,0.17,False
364,351,Tomáš Necid,Czech Republic,3,1,1,0.33,True
365,351,Pavel Nedvěd,Czech Republic,12,1,0,0.08,False
366,351,Nené,Portugal,2,1,0,0.5,False
367,351,Allan Nielsen,Denmark,3,1,0,0.33,False
368,351,Nolito,Spain,4,1,0,0.25,False
369,351,Ivica Olić,Croatia,6,1,0,0.17,False
370,351,Anton Ondruš,CSSR,6,1,0,0.17,False
371,351,Mislav Oršić,Croatia,1,1,0,1.0,True
372,351,Goran Pandev,North Macedonia,3,1,0,0.33,False
373,351,Antonín Panenka,CSSR,6,1,0,0.17,False
374,351,Christian Panucci,Italy,7,1,0,0.14,False
375,351,Mario Pašalić,Croatia,2,1,0,0.5,True
376,351,Viktor Pasulko,USSR,2,1,0,0.5,False
377,351,Miran Pavlin,Slovenia,3,1,0,0.33,False
378,351,Ladislav Pavlovič,CSSR,1,1,0,1.0,False
379,351,Simone Perrotta,Italy,6,1,0,0.17,False
380,351,Martin Petrov,Bulgaria,3,1,1,0.33,False
381,351,Piqué,Spain,10,1,0,0.1,False
382,351,Jaroslav Plašil,Czech Republic,11,1,0,0.09,False
383,351,David Platt,England,7,1,0,0.14,False
384,351,Joel Pohjanpalo,Finland,3,1,0,0.33,True
385,351,Odilon Polleunis,Belgium,2,1,0,0.5,False
386,351,Danilo Popivoda,Yugoslavia,2,1,0,0.5,False
387,351,Flemming Povlsen,Denmark,8,1,0,0.13,False
388,351,Dado Pršo,Croatia,3,1,0,0.33,False
389,351,Quini,Spain,2,1,0,0.5,False
390,351,Florin Răducioiu,Romania,3,1,0,0.33,False
391,351,Ivan Rakitić,Croatia,10,1,0,0.1,True
392,351,Milan Rapaić,Croatia,3,1,1,0.33,False
393,351,Vasiliy Rats,USSR,5,1,0,0.2,False
394,351,Raúl,Spain,7,1,0,0.14,False
395,351,Raúl Meireles,Portugal,8,1,0,0.13,False
396,351,Renato Sanches,Portugal,10,1,0,0.1,True
397,351,Johnny Rep,Netherlands,3,1,1,0.33,False
398,351,Marco Reus,Germany,2,1,0,0.5,True
399,351,Luigi Riva,Italy,1,1,0,1.0,False
400,401,Arjen Robben,Netherlands,9,1,0,0.11,False
401,401,Connor Roberts,Wales,4,1,0,0.25,True
402,401,Bryan Robson,England,3,1,0,0.33,False
403,401,Roger,Poland,3,1,0,0.33,False
404,401,Karl-Heinz Rummenigge,Germany,7,1,0,0.14,False
405,401,Sá Pinto,Portugal,7,1,0,0.14,False
406,401,Armando Sadiku,Albania,3,1,0,0.33,True
407,401,Georgios Samaras,Greece,5,1,0,0.2,False
408,401,Santillana,Spain,6,1,0,0.17,False
409,401,András Schäfer,Hungary,3,1,0,0.33,True
410,401,Fabian Schär,Switzerland,8,1,0,0.13,True
411,401,Mehmet Scholl,Germany,6,1,0,0.17,False
412,401,Alessandro Schöpf,Austria,5,1,0,0.2,True
413,401,Miloš Šestić,Yugoslavia,2,1,0,0.5,False
414,401,Luke Shaw,England,6,1,0,0.17,True
415,401,Roman Shirokov,Russia,7,1,0,0.14,False
416,401,Gylfi Sigurðsson,Iceland,5,1,1,0.2,True
417,401,Ragnar Sigurðsson,Iceland,5,1,0,0.2,False
418,401,Libor Sionko,Czech Republic,3,1,0,0.33,False
419,401,Milan Škoda,Czech Republic,2,1,0,0.5,True
420,401,Milan Škriniar,Slovakia,5,1,0,0.2,True
421,401,Darijo Srna,Croatia,12,1,0,0.08,False
422,401,Sean St Ledger,Ireland,3,1,0,0.33,False
423,401,Zoltán Stieber,Hungary,3,1,0,0.33,True
424,401,Dragan Stojković,Yugoslavia,7,1,1,0.14,False
425,401,Daniel Sturridge,England,3,1,0,0.33,False
426,401,Jan Suchopárek,Czech Republic,5,1,0,0.2,False
427,401,Ján Švehlík,CSSR,1,1,0,1.0,False
428,401,Václav Svěrkoš,Czech Republic,1,1,0,1.0,False
429,401,Marco Tardelli,Italy,4,1,0,0.25,False
430,401,Neil Taylor,Wales,6,1,0,0.17,False
431,401,Omari Tetradze,Russia,3,1,0,0.33,False
432,401,Olaf Thon,Germany,4,1,0,0.25,False
433,401,Dmitriy Torbinskiy,Russia,3,1,0,0.33,False
434,401,Arnór Traustason,Iceland,2,1,0,0.5,True
435,401,Ilia Tsymbalar,Russia,3,1,0,0.33,False
436,401,Igor Tudor,Croatia,2,1,0,0.5,False
437,401,Ozan Tufan,Turkey,6,1,0,0.17,True
438,401,Kubilay Türkyilmaz,Switzerland,3,1,1,0.33,False
439,401,Valerón,Spain,4,1,0,0.25,False
440,401,Giovanni van Bronckhorst,Netherlands,11,1,0,0.09,False
441,401,Rafael van der Vaart,Netherlands,9,1,0,0.11,False
442,401,Paul Van Himst,Belgium,2,1,0,0.5,False
443,401,Erwin Vandenbergh,Belgium,6,1,0,0.17,False
444,401,René Vandereycken,Belgium,7,1,1,0.14,False
445,401,Jamie Vardy,England,3,1,0,0.33,True
446,401,Varela,Portugal,3,1,0,0.33,False
447,401,Ivica Vastić,Austria,2,1,1,0.5,False
448,401,Frank Vercauteren,Belgium,3,1,0,0.33,False
449,401,Māris Verpakovskis,Latvia,3,1,0,0.33,False
450,451,František Veselý,CSSR,2,1,0,0.5,False
451,451,Gianluca Vialli,Italy,4,1,0,0.25,False
452,451,Kim Vilfort,Denmark,8,1,0,0.13,False
453,451,Jean Vincent,France,2,1,0,0.5,False
454,451,Ladislav Vízek,CSSR,4,1,0,0.25,False
455,451,Goran Vlaović,Croatia,4,1,0,0.25,False
456,451,Nikola Vlašić,Croatia,4,1,0,0.25,True
457,451,Sam Vokes,Wales,4,1,0,0.25,True
458,451,Johan Vonlanthen,Switzerland,5,1,0,0.2,False
459,451,Valeriy Voronin,USSR,2,1,0,0.5,False
460,451,Zisis Vryzas,Greece,5,1,0,0.2,False
461,451,Theo Walcott,England,4,1,0,0.25,False
462,451,Wout Weghorst,Netherlands,4,1,0,0.25,True
463,451,Vladimír Weiss,Slovakia,6,1,0,0.17,True
464,451,Danny Welbeck,England,4,1,0,0.25,True
465,451,Ronnie Whelan,Ireland,3,1,0,0.33,False
466,451,Ray Wilkins,England,3,1,0,0.33,False
467,451,Ashley Williams,Wales,6,1,0,0.17,False
468,451,Herbert Wimmer,Germany,4,1,0,0.25,False
469,451,Maryan Wisnieski,France,2,1,0,0.5,False
470,451,Rob Witschge,Netherlands,4,1,0,0.25,False
471,451,Axel Witsel,Belgium,9,1,0,0.11,True
472,451,Tony Woodcock,England,3,1,0,0.33,False
473,451,Xavi,Spain,11,1,0,0.09,False
474,451,Burak Yılmaz,Turkey,6,1,0,0.17,False
475,451,Ante Žanetić,Yugoslavia,2,1,0,0.5,False
476,451,Christian Ziege,Germany,8,1,0,0.13,False
477,451,Oleksandr Zinchenko,Ukraine,8,1,0,0.13,True
478,451,Konstantin Zyryanov,Russia,7,1,0,0.14,False
