01 Jun 1929;Germany v Scotland;D;1-1;International Friendly
14 Oct 1936;Scotland v Germany;L;2-0;International Friendly
22 May 1957;West Germany v Scotland;L;1-3;International Friendly
06 May 1959;Scotland v West Germany;L;3-2;International Friendly
12 May 1964;West Germany v Scotland;D;2-2;International Friendly
16 Apr 1969;Scotland v West Germany;D;1-1;FIFA World Cup
22 Oct 1969;West Germany v Scotland;W;3-2;FIFA World Cup
14 Nov 1973;Scotland v West Germany;D;1-1;International Friendly
27 Mar 1974;Germany v Scotland;W;2-1;International Friendly
08 Jun 1986;West Germany v Scotland;W;2-1;FIFA World Cup
15 Jun 1992;Scotland v Germany;W;0-2;UEFA European Championship
24 Mar 1993;Scotland v Germany;W;0-1;International Friendly
28 Apr 1999;Germany v Scotland;L;0-1;International Friendly
07 Jun 2003;Scotland v Germany;D;1-1;UEFA European Championship
10 Sep 2003;Germany v Scotland;W;2-1;UEFA European Championship
07 Sep 2014;Germany v Scotland;W;2-1;UEFA European Championship
07 Sep 2015;Scotland v Germany;W;2-3;UEFA European Championship
04 Apr 1909;Hungary v Germany;D;3-3;International Friendly
17 Dec 1911;Germany v Hungary;L;1-4;International Friendly
14 Apr 1912;Hungary v Germany;D;4-4;International Friendly
03 Jul 1912;Germany v Hungary;L;1-3;Olympics
24 Oct 1920;Germany v Hungary;W;1-0;International Friendly
05 Jun 1921;Hungary v Germany;L;3-0;International Friendly
02 Jul 1922;Germany v Hungary;D;0-0;International Friendly
21 Sep 1924;Hungary v Germany;L;4-1;International Friendly
28 Sep 1930;Germany v Hungary;W;5-3;International Friendly
30 Oct 1932;Hungary v Germany;L;2-1;International Friendly
14 Jan 1934;Germany v Hungary;W;3-1;International Friendly
15 Mar 1936;Hungary v Germany;L;3-2;International Friendly
20 Mar 1938;Germany v Hungary;D;1-1;International Friendly
24 Sep 1939;Hungary v Germany;L;5-1;International Friendly
07 Apr 1940;Germany v Hungary;D;2-2;International Friendly
06 Oct 1940;Hungary v Germany;D;2-2;International Friendly
06 Apr 1941;Germany v Hungary;W;7-0;International Friendly
03 May 1942;Hungary v Germany;W;3-5;International Friendly
20 Jun 1954;Hungary v West Germany;L;8-3;FIFA World Cup
04 Jul 1954;Germany v Hungary;W;3-2;FIFA World Cup
22 Dec 1957;West Germany v Hungary;W;1-0;International Friendly
08 Nov 1959;Hungary v West Germany;L;4-3;International Friendly
09 Sep 1970;West Germany v Hungary;W;3-1;International Friendly
29 Mar 1972;Hungary v West Germany;W;0-2;International Friendly
17 Apr 1974;Germany v Hungary;W;5-0;International Friendly
15 Nov 1978;West Germany v Hungary;D;0-0;International Friendly
07 Sep 1983;Hungary v West Germany;D;1-1;International Friendly
29 Jan 1985;West Germany v Hungary;L;0-1;International Friendly
18 Nov 1987;Hungary v West Germany;D;0-0;International Friendly
12 Oct 1994;Hungary v Germany;D;0-0;International Friendly
15 Aug 2001;Hungary v Germany;W;2-5;International Friendly
06 Jun 2004;Germany v Hungary;L;0-2;International Friendly
29 May 2010;Hungary v Germany;W;0-3;International Friendly
04 Jun 2016;Germany v Hungary;W;2-0;International Friendly
23 Jun 2021;Germany v Hungary;D;2-2;UEFA European Championship
11 Jun 2022;Hungary v Germany;D;1-1;UEFA Nations League
23 Sep 2022;Germany v Hungary;L;0-1;UEFA Nations League
05 Apr 1908;Switzerland v Germany;L;5-3;International Friendly
04 Apr 1909;Germany v Switzerland;W;1-0;International Friendly
03 Apr 1910;Switzerland v Germany;W;2-3;International Friendly
26 Mar 1911;Germany v Switzerland;W;6-2;International Friendly
05 May 1912;Switzerland v Germany;W;1-2;International Friendly
18 May 1913;Germany v Switzerland;L;1-2;International Friendly
27 Jun 1920;Switzerland v Germany;L;4-1;International Friendly
26 Mar 1922;Germany v Switzerland;D;2-2;International Friendly
03 Jun 1923;Switzerland v Germany;W;1-2;International Friendly
14 Dec 1924;Germany v Switzerland;D;1-1;International Friendly
25 Oct 1925;Switzerland v Germany;W;0-4;International Friendly
12 Dec 1926;Germany v Switzerland;L;2-3;International Friendly
15 Apr 1928;Switzerland v Germany;W;2-3;International Friendly
10 Feb 1929;Germany v Switzerland;W;7-1;International Friendly
04 May 1930;Switzerland v Germany;W;0-5;International Friendly
06 Mar 1932;Germany v Switzerland;W;2-0;International Friendly
19 Nov 1933;Switzerland v Germany;W;0-2;International Friendly
27 Jan 1935;Germany v Switzerland;W;4-0;International Friendly
02 May 1937;Switzerland v Germany;W;0-1;International Friendly
06 Feb 1938;Germany v Switzerland;D;1-1;International Friendly
04 Jun 1938;Germany v Switzerland;D;1-1;FIFA World Cup
09 Jun 1938;Germany v Switzerland;L;2-4;FIFA World Cup
09 Mar 1941;Germany v Switzerland;W;4-2;International Friendly
20 Apr 1941;Switzerland v Germany;L;2-1;International Friendly
01 Feb 1942;Germany v Switzerland;L;1-2;International Friendly
18 Oct 1942;Switzerland v Germany;W;3-5;International Friendly
22 Nov 1950;West Germany v Switzerland;W;1-0;International Friendly
15 Apr 1951;Switzerland v West Germany;W;2-3;International Friendly
09 Nov 1952;West Germany v Switzerland;W;5-1;International Friendly
25 Apr 1954;Switzerland v West Germany;W;3-5;International Friendly
21 Nov 1956;West Germany v Switzerland;L;1-3;International Friendly
04 Oct 1959;Switzerland v West Germany;W;0-4;International Friendly
03 Jun 1962;West Germany v Switzerland;W;2-1;FIFA World Cup
23 Dec 1962;West Germany v Switzerland;W;5-1;International Friendly
26 May 1965;Switzerland v West Germany;W;0-1;International Friendly
12 Jul 1966;Switzerland v Germany;W;0-5;FIFA World Cup
17 Apr 1968;Switzerland v West Germany;D;0-0;International Friendly
15 Nov 1972;West Germany v Switzerland;W;5-1;International Friendly
04 Sep 1974;Switzerland v West Germany;W;1-2;International Friendly
16 Nov 1977;West Germany v Switzerland;W;4-1;International Friendly
10 Sep 1980;Switzerland v West Germany;W;2-3;International Friendly
09 Apr 1986;Switzerland v West Germany;W;0-1;International Friendly
27 Apr 1988;West Germany v Switzerland;W;1-0;International Friendly
19 Dec 1990;Germany v Switzerland;W;4-0;International Friendly
23 Jun 1995;Switzerland v Germany;W;1-2;Centenary
26 Apr 2000;Germany v Switzerland;D;1-1;International Friendly
02 Jun 2004;Switzerland v Germany;W;0-2;International Friendly
07 Feb 2007;Germany v Switzerland;W;3-1;International Friendly
26 Mar 2008;Switzerland v Germany;W;0-4;International Friendly
26 May 2012;Switzerland v Germany;L;5-3;International Friendly
06 Sep 2020;Switzerland v Germany;D;1-1;UEFA Nations League
13 Oct 2020;Germany v Switzerland;D;3-3;UEFA Nations League
07 Dec 1938;Scotland v Hungary;W;3-1;International Friendly
08 Dec 1954;Scotland v Hungary;L;2-4;International Friendly
29 May 1955;Hungary v Scotland;L;3-1;International Friendly
07 May 1958;Scotland v Hungary;D;1-1;International Friendly
05 Jun 1960;Hungary v Scotland;D;3-3;International Friendly
31 May 1980;Hungary v Scotland;L;3-1;International Friendly
09 Sep 1987;Scotland v Hungary;W;2-0;International Friendly
18 Aug 2004;Scotland v Hungary;L;0-3;International Friendly
27 Mar 2018;Hungary v Scotland;W;0-1;International Friendly
24 May 1931;Switzerland v Scotland;W;2-3;International Friendly
15 May 1946;Scotland v Switzerland;W;3-1;Victory
17 May 1948;Switzerland v Scotland;L;2-1;International Friendly
26 Apr 1950;Scotland v Switzerland;W;3-1;International Friendly
19 May 1957;Switzerland v Scotland;W;1-2;FIFA World Cup
06 Nov 1957;Scotland v Switzerland;W;3-2;FIFA World Cup
22 Jun 1973;Switzerland v Scotland;L;1-0;International Friendly
07 Apr 1976;Scotland v Switzerland;W;1-0;International Friendly
17 Nov 1982;Switzerland v Scotland;L;2-0;UEFA European Championship
30 Mar 1983;Scotland v Switzerland;D;2-2;UEFA European Championship
17 Oct 1990;Scotland v Switzerland;W;2-1;UEFA European Championship
11 Sep 1991;Switzerland v Scotland;D;2-2;UEFA European Championship
09 Sep 1992;Switzerland v Scotland;L;3-1;FIFA World Cup
08 Sep 1993;Scotland v Switzerland;D;1-1;FIFA World Cup
18 Jun 1996;Scotland v Switzerland;W;1-0;UEFA European Championship
01 Mar 2006;Scotland v Switzerland;L;1-3;International Friendly
08 Jan 1911;Switzerland v Hungary;L;2-0;International Friendly
29 Oct 1911;Hungary v Switzerland;W;9-0;International Friendly
12 May 1918;Hungary v Switzerland;W;2-1;International Friendly
15 Jun 1922;Hungary v Switzerland;D;1-1;International Friendly
11 Mar 1923;Switzerland v Hungary;W;1-6;International Friendly
18 May 1924;Switzerland v Hungary;L;4-2;International Friendly
25 Mar 1925;Hungary v Switzerland;W;5-0;International Friendly
01 Nov 1928;Hungary v Switzerland;W;3-1;Dr Gero Cup
14 Apr 1929;Switzerland v Hungary;W;4-5;Dr Gero Cup
13 Apr 1930;Switzerland v Hungary;D;2-2;International Friendly
12 Apr 1931;Hungary v Switzerland;W;6-2;Dr Gero Cup
19 Jun 1932;Switzerland v Hungary;L;3-1;Dr Gero Cup
17 Sep 1933;Hungary v Switzerland;W;3-0;Dr Gero Cup
14 Apr 1935;Switzerland v Hungary;L;6-2;Dr Gero Cup
10 Nov 1935;Hungary v Switzerland;W;6-1;International Friendly
11 Apr 1937;Switzerland v Hungary;W;1-5;Dr Gero Cup
14 Nov 1937;Hungary v Switzerland;W;2-0;Dr Gero Cup
12 Jun 1938;Hungary v Switzerland;W;2-0;FIFA World Cup
02 Apr 1939;Switzerland v Hungary;L;3-1;International Friendly
31 Mar 1940;Hungary v Switzerland;W;3-0;International Friendly
16 Nov 1941;Switzerland v Hungary;W;1-2;International Friendly
01 Nov 1942;Hungary v Switzerland;W;3-0;International Friendly
16 May 1943;Switzerland v Hungary;W;1-3;International Friendly
21 Apr 1948;Hungary v Switzerland;W;7-4;Dr Gero Cup
20 Sep 1952;Switzerland v Hungary;W;2-4;Dr Gero Cup
10 Oct 1954;Hungary v Switzerland;W;3-0;International Friendly
17 Sep 1955;Switzerland v Hungary;W;4-5;Dr Gero Cup
25 Oct 1959;Hungary v Switzerland;W;8-0;International Friendly
04 Oct 1964;Switzerland v Hungary;W;0-2;International Friendly
05 Jun 1966;Hungary v Switzerland;W;3-1;International Friendly
15 Nov 1970;Switzerland v Hungary;W;0-1;International Friendly
04 Dec 1974;Hungary v Switzerland;W;1-0;International Friendly
30 Apr 1976;Switzerland v Hungary;W;0-1;International Friendly
28 Apr 1981;Switzerland v Hungary;D;2-2;FIFA World Cup
14 Oct 1981;Hungary v Switzerland;W;3-0;FIFA World Cup
22 Aug 1984;Hungary v Switzerland;W;3-0;International Friendly
04 Apr 1989;Hungary v Switzerland;W;3-0;International Friendly
09 Mar 1994;Hungary v Switzerland;L;1-2;International Friendly
29 Mar 1995;Hungary v Switzerland;D;2-2;UEFA European Championship
11 Oct 1995;Switzerland v Hungary;L;3-0;UEFA European Championship
30 Apr 1997;Switzerland v Hungary;L;1-0;FIFA World Cup
20 Aug 1997;Hungary v Switzerland;D;1-1;FIFA World Cup
18 Nov 1998;Hungary v Switzerland;W;2-0;International Friendly
13 Feb 2002;Switzerland v Hungary;L;2-1;Four Nation Tournament Cyprus
07 Oct 2016;Hungary v Switzerland;L;2-3;FIFA World Cup
07 Oct 2017;Switzerland v Hungary;L;5-2;FIFA World Cup