03 Jun 2003;England v Serbia and Montenegro;W;2-1;International Friendly
26 Sep 1948;Denmark v England;D;0-0;International Friendly
02 Oct 1955;Denmark v England;W;1-5;International Friendly
05 Dec 1956;England v Denmark;W;5-2;FIFA World Cup
15 May 1957;Denmark v England;W;1-4;FIFA World Cup
03 Jul 1966;Denmark v England;W;0-2;International Friendly
20 Sep 1978;Denmark v England;W;3-4;UEFA European Championship
12 Sep 1979;England v Denmark;W;1-0;UEFA European Championship
22 Sep 1982;Denmark v England;D;2-2;UEFA European Championship
21 Sep 1983;England v Denmark;L;0-1;UEFA European Championship
14 Sep 1988;England v Denmark;W;1-0;International Friendly
07 Jun 1989;Denmark v England;D;1-1;International Friendly
15 May 1990;England v Denmark;W;1-0;International Friendly
11 Jun 1992;Denmark v England;D;0-0;UEFA European Championship
09 Mar 1994;England v Denmark;W;1-0;International Friendly
15 Jun 2002;Denmark v England;W;0-3;FIFA World Cup
16 Nov 2003;England v Denmark;L;2-3;International Friendly
17 Aug 2005;Denmark v England;L;4-1;International Friendly
09 Feb 2011;Denmark v England;W;1-2;International Friendly
05 Mar 2014;England v Denmark;W;1-0;International Friendly
08 Sep 2020;Denmark v England;D;0-0;UEFA Nations League
14 Oct 2020;England v Denmark;L;0-1;UEFA Nations League
07 Jul 2021;England v Denmark;W;2-1;UEFA European Championship
05 Sep 2009;England v Slovenia;W;2-1;International Friendly
23 Jun 2010;Slovenia v England;W;0-1;FIFA World Cup
15 Nov 2014;England v Slovenia;W;3-1;UEFA European Championship
14 Jun 2015;Slovenia v England;W;2-3;UEFA European Championship
11 Oct 2016;Slovenia v England;D;0-0;FIFA World Cup
05 Oct 2017;England v Slovenia;W;1-0;FIFA World Cup
01 Sep 1996;Slovenia v Denmark;W;0-2;FIFA World Cup
30 Apr 1997;Denmark v Slovenia;W;4-0;FIFA World Cup
25 Apr 2001;Denmark v Slovenia;W;3-0;International Friendly
06 Feb 2008;Slovenia v Denmark;W;1-2;International Friendly
19 Jun 2023;Slovenia v Denmark;D;1-1;UEFA European Championship
17 Nov 2023;Denmark v Slovenia;W;2-1;UEFA European Championship
14 Nov 2014;Serbia v Denmark;W;1-3;UEFA European Championship
13 Jun 2015;Denmark v Serbia;W;2-0;UEFA European Championship
29 Mar 2022;Denmark v Serbia;W;3-0;International Friendly
07 Sep 2010;Serbia v Slovenia;D;1-1;UEFA European Championship
11 Oct 2011;Slovenia v Serbia;W;1-0;UEFA European Championship
05 Jun 2022;Serbia v Slovenia;L;4-1;UEFA Nations League
12 Jun 2022;Slovenia v Serbia;D;2-2;UEFA Nations League