index;Country;Possession
1;Spain;73%
2;Switzerland;72%
3;Portugal;70%
4;Denmark;69%
5;Croatia;66%
6;Poland;66%
7;England;65%
8;France;64%
9;Israel;63%
10;Belgium;62%
11;Serbia;62%
12;Italy;61%
13;Netherlands;61%
14;Turkey;60%
15;Hungary;59%
16;Finland;57%
17;Slovakia;57%
18;Czech Republic;57%
19;Austria;56%
20;Norway;56%
21;Ireland;53%
22;Northern Ireland;53%
23;Romania;52%
24;Slovenia;52%
25;Iceland;51%
26;Greece;50%
27;Bosnia Herz.;50%
28;Albania;50%
29;Sweden;49%
30;Kosovo;49%
31;Bulgaria;48%
32;Azerbaijan;48%
33;Luxembourg;48%
34;Armenia;48%
35;Scotland;46%
36;Kazakhstan;46%
37;Wales;45%
38;Ukraine;45%
39;Belarus;42%
40;Faroe Islands;41%
41;Macedonia;41%
42;Montenegro;41%
43;Georgia;40%
44;Lithuania;40%
45;Moldova;37%
46;Malta;36%
47;Estonia;35%
48;Latvia;33%
49;Cyprus;33%
50;Liechtenstein;25%
51;San Marino;24%
52;Andorra;23%
53;Gibraltar;21%