Euro;Country;Player;Country;Country_2;Goals
2020;Czech Republic;Patrik Schick;Czech Republic;Czech Republic;5
;Portugal;Cristiano Ronaldo;Portugal;Portugal;5
2016;France;Antoine Griezmann;France;France;6
2012;Croatia;Mario Mandžukić;Croatia;Croatia;3
;Germany;Mario Gómez;Germany;Germany;3
;Italy;Mario Balotelli;Italy;Italy;3
;Spain;Fernando Torres;Spain;Spain;3
;Portugal;Cristiano Ronaldo;Portugal;Portugal;3
;Russia;Alan Dzagoev;Russia;Russia;3
2008;Spain;Villa;Spain;Spain;4
2004;Czech Republic;Milan Baros;Czech Republic;Czech Republic;5
2000;Serbia;Savo Milosevic;Yugoslavia;Yugoslavia;5
;Netherlands;Patrick Kluivert;Netherlands;Netherlands;5
1996;England;Alan Shearer;England;England;5
1992;Sweden;Tomas Brolin;Sweden;Sweden;3
;Germany;Karlheinz Riedle;Germany;Germany;3
;Denmark;Henrik Larsen;Denmark;Denmark;3
;Netherlands;Dennis Bergkamp;Netherlands;Netherlands;3
1988;Netherlands;Marco van Basten;Netherlands;Netherlands;5
1984;France;Michel Platini;France;France;9
1980;Germany;Klaus Allofs;Germany;Germany;3
1976;Germany;Dieter Müller;Germany;Germany;4
1972;Germany;Gerd Müller;Germany;Germany;4
1968;Serbia;Dragan Dzajic;Yugoslavia;Yugoslavia;2
1964;Hungary;Dezsö Novak;Hungary;Hungary;2
;Spain;Pereda;Spain;Spain;2
1960;Russia;Viktor Ponedelnik;USSR;USSR;2
;Russia;Valentin Ivanov;USSR;USSR;2
;Serbia;Milan Galic;Yugoslavia;Yugoslavia;2
;France;Francois Heutte;France;France;2
;Croatia;Drazen Jerkovic;Yugoslavia;Yugoslavia;2